project_name,classification,type,department_allocation
cwoolley-ceef985a,Internal Use,Sandbox Cloud Individual Project,eng-dev
dappelt-27ef2190,Internal Use,Sandbox Cloud Individual Project,eng-security
dastor-081d0302,Internal Use,Sandbox Cloud Individual Project,sales-cs
dbailey-2855932,Internal Use,Sandbox Cloud Individual Project,eng-support
dbiryukov-dacbc6d5,Internal Use,Sandbox Cloud Individual Project,eng-dev
dbolkensteyn-e37e267e,Internal Use,Sandbox Cloud Individual Project,eng-dev
dcoy-b9512694,Internal Use,Sandbox Cloud Individual Project,eng-support
ddieulivol-8ac9f9af,Internal Use,Sandbox Cloud Individual Project,eng-quality
ddiniz-e4a4bcc8,Internal Use,Sandbox Cloud Individual Project,eng-support
dev-eco-integrations-00928fe7,Internal Use,Sandbox Cloud Group Project,eng-dev
dev-package-container-96a3ff34,Internal Use,Sandbox Cloud Group Project,eng-dev
dev-package-registry-db7a29c9,Internal Use,Sandbox Cloud Group Project,eng-dev
dfernandez-5494dd2c,Internal Use,Sandbox Cloud Individual Project,eng-dev
djain-24e43a7e,Internal Use,Sandbox Cloud Individual Project,eng-security
dkua-8c20b3de,Internal Use,Sandbox Cloud Individual Project,eng-support
dmakovey-c2a477b8,Internal Use,Sandbox Cloud Individual Project,eng-dev
dns-zones-a1ce7e00,Internal Use,Sandbox Cloud Individual Project,eng-managed-services
drivey-211fbfa1,Internal Use,Sandbox Cloud Individual Project,sales-cs
drossetti-99f82457,Internal Use,Sandbox Cloud Individual Project,eng-dev
dserafin-49fbe6cb,Internal Use,Sandbox Cloud Individual Project,eng-support
dstanley-cb07645f,Internal Use,Sandbox Cloud Individual Project,eng-support
dtang-b7e2b423,Internal Use,Sandbox Cloud Individual Project,eng-dev
dwainaina-8abfeff3,Internal Use,Sandbox Cloud Individual Project,eng-support
dwalker-a4c0d4b3,Internal Use,Sandbox Cloud Individual Project,eng-support
dwheeler-277df745,Internal Use,Sandbox Cloud Individual Project,ga-business-tech
ebralitis-57f9fcf3,Internal Use,Sandbox Cloud Individual Project,eng-quality
echan-3f35cbf0,Internal Use,Sandbox Cloud Individual Project,sales-cs
echang-43c48a7c,Internal Use,Sandbox Cloud Individual Project,eng-support
ehilgendorf-4c34e46e,Internal Use,Sandbox Cloud Individual Project,eng-support
emunn-2d42371a,Internal Use,Sandbox Cloud Individual Project,eng-support
emwathe-295bbdcc,Internal Use,Sandbox Cloud Individual Project,sales-cs
eng-dev-secure-vuln-2251a841,Internal Use,Sandbox Cloud Group Project,eng-dev
eortega-a5c0a240,Internal Use,Sandbox Cloud Individual Project,sales-cs
erudinsky-734d7c20,Internal Use,Sandbox Cloud Individual Project,sales-ps-consulting
esalas-ce970b66,Internal Use,Sandbox Cloud Individual Project,sales-cs
eslatt-c074bd78,Internal Use,Sandbox Cloud Individual Project,sales-cs
estrike-b2c7e3b8,Internal Use,Sandbox Cloud Individual Project,eng-security
ext-license-db-dev-d6ba6f35,Internal Use,Sandbox Cloud Group Project,eng-services-realm
ext-license-db-prd-43e2753d,Internal Use,Sandbox Cloud Group Project,eng-services-realm
faleksic-c20dc944,Internal Use,Sandbox Cloud Individual Project,eng-support
fdegier-86be477d,Internal Use,Sandbox Cloud Individual Project,eng-dev
fdiaz-02874dfa,Internal Use,Sandbox Cloud Individual Project,mktg-product
ffarukh-61d26d75,Internal Use,Sandbox Cloud Individual Project,eng-support
fsantos-dc224eb3,Internal Use,Sandbox Cloud Individual Project,eng-infra
gcorrenti-45734162,Internal Use,Sandbox Cloud Individual Project,sales-cs
ggutierrez-e41c592a,Internal Use,Sandbox Cloud Individual Project,eng-support
ghickey-294a7292,Internal Use,Sandbox Cloud Individual Project,eng-dev
gholtz-bc31d2f6,Internal Use,Sandbox Cloud Individual Project,eng-dev
gjohnson-f058ceb3,Internal Use,Sandbox Cloud Individual Project,eng-security
glam-test-021fcaf1,Internal Use,Sandbox Cloud Group Project,glam
gmarco-11d69639,Internal Use,Sandbox Cloud Individual Project,eng-infra
gmiller-3b0d9e92,Internal Use,Sandbox Cloud Individual Project,sales-ps-consulting
gmyers-c41b7852,Internal Use,Sandbox Cloud Individual Project,eng-support
gyoachum-d1847316,Internal Use,Sandbox Cloud Individual Project,eng-support
gyoung-1e42b842,Internal Use,Sandbox Cloud Individual Project,eng-quality
harish-5f395834,Internal Use,Sandbox Cloud Individual Project,eng-support
hazevedo-cc15ac71,Internal Use,Sandbox Cloud Individual Project,sales-cs
hchouraria-622c01ab,Internal Use,Sandbox Cloud Individual Project,eng-support
hmuralidhar-b05b955b,Internal Use,Sandbox Cloud Individual Project,eng-quality
hphilipps-0ca44645,Internal Use,Sandbox Cloud Individual Project,eng-infra
hsharma-c115278f,Internal Use,Sandbox Cloud Individual Project,eng-security
hustewart-be5bff04,Internal Use,Sandbox Cloud Individual Project,eng-dev
idawson-3a9c68fb,Internal Use,Sandbox Cloud Individual Project,eng-dev
iforde-93424737,Internal Use,Sandbox Cloud Individual Project,ga-it
imurray-50aeb3e5,Internal Use,Sandbox Cloud Individual Project,eng-dev
instruqt-images-b4cbe594,Internal Use,Sandbox Cloud Group Project,sales-ps-education
iouhab-6ab1473d,Internal Use,Sandbox Cloud Individual Project,sales-cs
iperillo-2cd84f14,Internal Use,Sandbox Cloud Individual Project,eng-support
it-ops-config-mgmt-bdc02252,Internal Use,Sandbox Cloud Group Project,business-tech-realm
iyoo-4119b47c,Internal Use,Sandbox Cloud Individual Project,sales-cs
james-f2cbfe49,Internal Use,Sandbox Cloud Individual Project,eng-dev
jariel-8379e330,Internal Use,Sandbox Cloud Individual Project,sales-cs
jbowles-7b3d802d,Internal Use,Sandbox Cloud Individual Project,sales-cs
jburnett-ad8e5d54,Internal Use,Sandbox Cloud Individual Project,eng-dev
jbush-d52d302f,Internal Use,Sandbox Cloud Individual Project,sales-cs
jcastillo-38c54d28,Internal Use,Sandbox Cloud Individual Project,eng-support
jchoi2-210eaeef,Internal Use,Sandbox Cloud Individual Project,sales-ps-education
jcunha-09036dcf,Internal Use,Sandbox Cloud Individual Project,eng-dev
jdasmarinas-f4ae0ec6,Internal Use,Sandbox Cloud Individual Project,eng-support
jen-shin-c38fa29b,Internal Use,Sandbox Cloud Individual Project,eng-quality
jfarmiloe-fe3f9659,Internal Use,Sandbox Cloud Individual Project,eng-support
jford-aa12c736,Internal Use,Sandbox Cloud Individual Project,ga-it
jhebden-e0199393,Internal Use,Sandbox Cloud Individual Project,eng-security
jjones-2d821a42,Internal Use,Sandbox Cloud Individual Project,sales-cs
jjoshua-b66f73fb,Internal Use,Sandbox Cloud Individual Project,eng-support
jkunzmann-86b225a1,Internal Use,Sandbox Cloud Individual Project,sales-cs
